REPORTED DATE :	12/11/2020	Page 1	Composite Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakan 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
CAE155	FG-FILLER	PD63000012	FC63-000012	FARREL2	21HM500-1	SO63000005	20,150.000	20,160.000	20,000.000	160.000	0.350	0.794	Fail	-2.096	-8,081.052	-63,655.785	65,655.746	-6,081.091	9/1/2020	14/1/2020	1	6	8
CAE155	FG-FILLER	PD63000013	FC63-000013	FARREL2	21HM500-1	SO63000005	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-3.076	-10,247.485	1,096.835	224.700	-8,925.950	9/1/2020	14/1/2020	1	6	8
CAE155	FG-FILLER	PD63000014	FC63-000014	FARREL2	21HM500-1	SO63000005	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-2.319	-8,192.278	1,239.871	224.700	-6,727.707	9/1/2020	14/1/2020	1	6	8
CAE155	FG-FILLER	PD63000015	FC63-000015	FARREL2	21HM500-1	SO63000005	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-3.091	-10,291.059	-62,795.301	64,116.840	-8,969.520	9/1/2020	15/1/2020	2	7	9
CAE155	FG-FILLER	PD63000016	FC63-000016	FARREL2	21HM500-1	SO63000005	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-2.705	-9,241.670	-62,723.783	64,116.840	-7,848.613	10/1/2020	15/1/2020	1	6	9
CAE155	FG-FILLER	PD63000017	FC63-000017	FARREL2	21HM500-1	SO63000006	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-1.932	-7,142.894	-62,580.746	64,116.830	-5,606.810	10/1/2020	15/1/2020	1	6	9
CAE155	FG-FILLER	PD63000018	FC63-000018	FARREL2	21HM500-1	SO63000006	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-3.032	-10,212.287	1,198.707	217.600	-8,795.980	13/1/2020	16/1/2020	1	4	10
CAE155	FG-FILLER	PD63000019	FC63-000019	FARREL2	21HM500-1	SO63000006	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-5.016	-15,715.643	-62,946.446	64,109.730	-14,552.359	13/1/2020	16/1/2020	1	4	10
CAE155	FG-FILLER	PD63000020	FC63-000020	FARREL2	21HM500-1	SO63000006	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-3.640	-11,911.255	-62,759.542	64,109.730	-10,561.067	13/1/2020	21/1/2020	1	9	15
CAE155	FG-FILLER	PD63000021	FC63-000021	FARREL2	21HM500-1	SO63000006	20,140.000	20,150.000	20,000.000	150.000	0.350	0.744	Fail	-3.833	-12,435.979	-62,795.301	64,109.740	-11,121.540	13/1/2020	21/1/2020	1	9	15
