REPORTED DATE :	12/11/2020	Page 1	PolyMerit Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakarn 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
CABK17308	FG-CO	PD63000002	FP63-000002	BUSS	21HM500-1	SO63000002	10,216.500	10,216.510	10,150.000	66.510	0.350	0.651	Fail	0.910	-57,212.379	-1,682.788	64,143.006	5,247.839	7/1/2020	20/1/2020	3	14	15
CABK17308	FG-CO	PD63000003	FP63-000003	BUSS	21HM500-1	SO63000002	10,200.000	9,261.000	8,823.300	437.700	0.350	4.726	Fail	7.338	13,506.844	23,263.724	0.000	36,770.568	7/1/2020	22/1/2020	3	16	17
CABK174	FG-CO	PD63000001	FP63-000001	BUSS	21HM500-1	SO63000002	1,050.000	1,050.000	1,050.000	0.000	0.350	0.000	Pass	-1.397	-996.145	-2,636.604	2,796.081	-836.668	7/1/2020	20/1/2020	3	14	15
CAE152	FG-FILLER	PD63000023	FP63-000025	FARREL	21HM500-1	SO63000012	15,113.000	15,123.000	15,050.000	73.000	0.350	0.483	Fail	-5.208	-7,528.674	-52,056.213	49,883.890	-9,700.997	23/1/2020	30/1/2020	2	8	23
CAE152	FG-FILLER	PD63000024	FP63-000026	FARREL	21HM500-1	SO63000012	15,113.000	15,123.000	15,050.000	73.000	0.350	0.483	Fail	-5.810	-8,578.052	-52,127.731	49,883.900	-10,821.883	23/1/2020	30/1/2020	2	8	23
CAE152	FG-FILLER	PD63000025	FP63-000027	FARREL	21HM500-1	SO63000012	15,113.000	15,123.000	15,050.000	73.000	0.350	0.483	Fail	-5.810	-8,578.062	-52,127.731	49,883.890	-10,821.903	23/1/2020	30/1/2020	2	8	23
CAE2	FG-FILLER	PD63000006	FP63-000006	FARREL	Packer_1	SO63000003	15,000.000	15,000.000	15,000.000	0.000	0.350	0.000	Pass	0.563	0.000	0.000	1,070.145	1,070.145	6/1/2020	9/1/2020	2	4	4
CAE2	FG-FILLER	PD63000061	FP63-000063	FARREL	21HM500-1	SO63000026	15,113.000	15,123.000	15,050.000	73.000	0.350	0.483	Fail	-16.524	-13,287.309	-748.043	-17,451.640	-31,486.992	27/1/2020	30/1/2020	1	4	18
CAE2	FG-FILLER	PD63000062	FP63-000064	FARREL	21HM500-1	SO63000026	15,113.000	15,123.000	15,050.000	73.000	0.350	0.483	Fail	-14.759	-10,139.164	-533.488	-17,451.640	-28,124.292	27/1/2020	30/1/2020	1	4	18
CAH160	FG-FILLER	PD62001471	FP62-001539	FARREL	Packer_1	SO62000722	6,402.000	6,402.000	6,400.000	2.000	0.350	0.031	Pass	1.078	0.000	0.000	918.399	918.399	6/1/2020	8/1/2020	2	3	65
CAH160	FG-FILLER	PD62001472	FP62-001540	FARREL	21HM500-1	SO62000722	16,120.000	16,130.000	16,000.000	130.000	0.350	0.806	Fail	-0.002	-2,196.047	608.394	1,583.340	-4.313	9/1/2020	17/1/2020	1	9	74
CAH160	FG-FILLER	PD62001565	FP62-001635	FARREL	21HM500-1	Manual	25,000.000	25,010.000	25,000.000	10.000	0.350	0.040	Pass	-2.937	-11,117.185	-666.086	2,012.500	-9,770.771	16/1/2020	21/1/2020	1	6	50
CAH160	FG-FILLER	PD63000026	FP63-000028	FARREL	21HM500-1	SO63000013	16,120.000	16,120.000	16,000.000	120.000	0.350	0.744	Fail	-0.132	-2,196.037	608.394	1,306.840	-280.803	9/1/2020	22/1/2020	6	14	15
CAH160	FG-FILLER	PD63000027	FP63-000029	FARREL	21HM500-1	SO63000013	16,120.000	16,120.000	16,000.000	120.000	0.350	0.744	Fail	0.806	-341.461	751.430	1,306.840	1,716.809	10/1/2020	22/1/2020	6	13	15
CAH160	FG-FILLER	PD63000028	FP63-000030	FARREL	21HM500-1	SO63000013	16,120.000	16,120.000	16,000.000	120.000	0.350	0.744	Fail	-1.611	-5,487.801	751.430	1,306.840	-3,429.531	10/1/2020	22/1/2020	5	13	15
CAH160	FG-FILLER	PD63000029	FP63-000031	FARREL	21HM500-1	SO63000013	16,120.000	16,120.000	16,000.000	120.000	0.350	0.744	Fail	-2.528	-7,330.326	641.450	1,306.840	-5,382.036	15/1/2020	22/1/2020	2	8	15
CAH381	FG-FILLER	PD62001611	FP62-001682	FARREL	21HM500-1	SO62000802	15,113.000	20,124.000	20,000.000	124.000	0.350	0.616	Fail	-2.875	-24,430.799	-43,976.147	60,595.126	-7,811.820	13/1/2020	16/1/2020	1	4	36
CAH381	FG-FILLER	PD62001641	FP62-001713	FARREL	21HM500-1	SO62000814	15,113.000	15,123.000	15,000.000	123.000	0.350	0.813	Fail	-4.252	-10,552.881	400.593	1,487.240	-8,665.048	13/1/2020	16/1/2020	1	4	24
CAH381	FG-FILLER	PD62001642	FP62-001714	FARREL	21HM500-1	SO62000814	15,113.000	15,123.000	15,000.000	123.000	0.350	0.813	Fail	-4.330	-10,678.575	364.834	1,488.440	-8,825.301	16/1/2020	22/1/2020	1	7	30
CAH381	FG-FILLER	PD62001643	FP62-001715	FARREL	21HM500-1	SO62000814	15,113.000	15,123.000	15,000.000	123.000	0.350	0.813	Fail	-5.431	-12,777.372	221.797	1,488.440	-11,067.135	16/1/2020	22/1/2020	1	7	30
CAH381	FG-FILLER	PD62001644	FP62-001716	FARREL	21HM500-1	SO62000814	15,113.000	15,113.000	15,000.000	113.000	0.350	0.748	Fail	-4.500	-10,825.594	428.245	1,225.940	-9,171.409	20/1/2020	23/1/2020	2	4	31
CAH381	FG-FILLER	PD63000019	FP63-000019	FARREL	21HM500-1	SO63000010	15,113.000	15,113.000	15,000.000	113.000	0.350	0.748	Fail	-4.315	-10,449.712	430.947	1,225.950	-8,792.815	20/1/2020	24/1/2020	1	5	17
CAH381	FG-FILLER	PD63000020	FP63-000020	FARREL	21HM500-1	SO63000010	15,113.000	15,113.000	15,000.000	113.000	0.350	0.748	Fail	-4.476	-10,711.835	364.834	1,225.940	-9,121.061	20/1/2020	23/1/2020	2	4	16
CAH381	FG-FILLER	PD63000021	FP63-000021	FARREL	21HM500-1	SO63000010	15,113.000	15,113.000	15,000.000	113.000	0.350	0.748	Fail	-3.101	-8,088.354	543.630	1,225.940	-6,318.784	20/1/2020	24/1/2020	1	5	17
CAH381	FG-FILLER	PD63000022	FP63-000022	FARREL	21HM500-1	SO63000010	1,315.160	1,315.160	1,120.000	195.160	0.350	14.839	Fail	12.345	-257.334	1,753.597	382.240	1,878.503	21/1/2020	25/1/2020	1	5	18
CAP377	FG-FILLER	PD62001627	FP62-001699	FARREL	21HM500-1	SO62000808	18,200.000	18,200.001	18,150.000	50.001	0.350	0.275	Pass	1.357	-3,080.629	-26,527.685	35,359.615	5,751.301	19/12/2019	7/1/2020	1	20	21
CAP377	FG-FILLER	PD62001628	FP62-001700	FARREL	21HM500-1	SO62000808	18,200.000	18,200.000	18,150.000	50.000	0.350	0.275	Pass	0.975	-2,925.136	-36,783.390	43,841.224	4,132.698	23/12/2019	7/1/2020	1	16	21
CAP377	FG-FILLER	PD62001629	FP62-001701	FARREL	21HM500-1	SO62000808	18,200.000	18,200.000	18,000.000	200.000	0.350	1.099	Fail	1.550	-3,561.300	-33,765.443	43,841.224	6,514.481	23/12/2019	13/1/2020	7	22	27
CAP377	FG-FILLER	PD62001630	FP62-001702	FARREL	21HM500-1	SO62000808	18,200.000	18,200.000	18,000.000	200.000	0.350	1.099	Fail	1.778	-2,642.963	-331,847.531	341,961.774	7,471.280	23/12/2019	13/1/2020	7	22	27
CAP377	FG-FILLER	PD62001631	FP62-001703	FARREL	21HM500-1	SO62000808	18,200.000	18,200.000	18,000.000	200.000	0.350	1.099	Fail	1.511	-3,692.341	-331,919.050	341,961.764	6,350.373	23/12/2019	13/1/2020	4	22	27
CAP377	FG-FILLER	PD62001632	FP62-001704	FARREL	21HM500-1	SO62000808	18,200.000	18,200.000	17,924.600	275.400	0.350	1.513	Fail	5.860	11,862.525	-329,296.006	341,961.784	24,528.303	24/12/2019	13/1/2020	4	21	27
CARD17307	FG-CO	PD63000005	FP63-000005	TWIN-58	21TM500-3	SO63000002	530.700	530.701	527.000	3.701	0.350	0.697	Fail	1.786	529.514	-1,097.916	1,419.480	851.078	13/1/2020	29/1/2020	3	17	24
CAWH17310	FG-CO	PD63000004	FP63-000004	TWIN-58	21TM500-2	SO63000002	7,600.000	7,600.000	7,587.600	12.400	0.350	0.163	Pass	4.278	17,375.831	2,300.883	0.000	19,676.714	21/1/2020	27/1/2020	3	7	22
CEBK218	FG-CO	PD62001575	FP62-001645	BUSS	21HM500-1	SO62000780	3,310.000	3,310.000	3,093.300	216.700	0.350	6.547	Fail	-5.249	-54,262.524	-6,817.761	48,120.248	-12,960.037	7/1/2020	15/1/2020	6	9	42
CPTC21189-1	TEST	PD63000009	FP63-000009	FARREL	21HM500-1	SO63000005	5,500.000	5,550.000	5,550.000	0.000	0.350	0.000	Pass	-14.208	-19,461.037	-155,414.819	145,169.870	-29,705.986	9/1/2020	30/1/2020	1	22	24
CPUV375	FG-CO	PD63000079	FP63-000094	TWIN-58	21HM200-4	SO63000047	3,020.000	3,020.000	3,007.000	13.000	0.350	0.430	Fail	-4.318	-8,410.964	-1,441.390	0.000	-9,852.354	21/1/2020	25/1/2020	1	5	9
FPTC172	FG-FILLER	PD62001616	FP62-001687	FARREL	21HM500-1	SO62000804	10,280.500	10,330.500	10,000.000	330.500	0.350	3.199	Fail	3.166	-1,104.473	6,410.478	5,972.836	11,278.841	9/1/2020	18/1/2020	2	10	34
FPTC172	FG-FILLER	PD62001617	FP62-001688	FARREL	21HM500-1	SO62000804	15,200.000	14,705.000	14,114.000	591.000	0.350	4.019	Fail	11.287	32,019.012	-109,915.048	134,643.950	56,747.914	9/1/2020	18/1/2020	3	10	34
FPTC173	FG-FILLER	PD63000008	FP63-000008	FARREL	21HM500-1	SO63000004	30,300.000	30,350.000	29,636.000	714.000	0.350	2.353	Fail	-6.824	-68,107.818	-566,740.213	569,625.640	-65,222.391	8/1/2020	15/1/2020	6	8	9
FPTC368	FG-FILLER	PD63000078	FP63-000093	FARREL	Packer_1	SO63000042	5,630.000	5,630.000	5,630.000	0.000	0.350	0.000	Pass	3.817	0.000	0.000	5,556.896	5,556.896	16/1/2020	17/1/2020	1	2	2
FPTC368-2	TEST	PD62001606	FP62-001676	FARREL	21HM500-1	SO62000795	6,000.000	6,050.000	5,630.000	420.000	0.350	6.942	Fail	6.025	-1,363.341	8,661.686	1,750.000	9,048.345	8/1/2020	15/1/2020	3	8	36
MEBK162	FG-BLACK	PD62001577	FP62-001647	BUSS	21HM500-1	SO62000782	10,000.000	10,030.000	9,975.000	55.000	0.350	0.548	Fail	-3.527	-12,793.990	-421.606	816.300	-12,399.296	14/1/2020	22/1/2020	2	9	49
MEBK162	FG-BLACK	PD62001578	FP62-001648	BUSS	21HM500-1	SO62000782	10,000.000	10,030.000	10,000.000	30.000	0.350	0.299	Pass	-5.138	-17,834.643	-1,092.363	816.300	-18,110.706	14/1/2020	23/1/2020	2	10	50
MEBK168	FG-BLACK	PD63000034	FP63-000036	BUSS	21HM500-1	SO63000018	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-1.880	-141,981.467	76,317.633	59,170.227	-6,493.607	23/1/2020	27/1/2020	3	5	18
REPORTED DATE :	12/11/2020	Page 2	PolyMerit Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakarn 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MEBK168	FG-BLACK	PD63000035	FP63-000037	BUSS	21HM500-1	SO63000018	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-1.928	-142,112.529	76,284.576	59,170.227	-6,657.726	23/1/2020	27/1/2020	1	5	18
MEBK168	FG-BLACK	PD63000036	FP63-000038	BUSS	21HM500-1	SO63000018	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-1.028	-91,881.175	79,774.590	8,555.379	-3,551.206	23/1/2020	27/1/2020	1	5	18
MEBK168	FG-BLACK	PD63000037	FP63-000039	BUSS	21HM500-1	SO63000018	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-0.538	-91,619.052	79,840.704	9,921.675	-1,856.673	23/1/2020	28/1/2020	1	6	19
MEBK168	FG-BLACK	PD63000038	FP63-000040	BUSS	21HM500-1	SO63000018	4,686.333	4,716.334	4,675.000	41.334	0.350	0.876	Fail	-0.785	-40,820.216	35,528.137	4,085.591	-1,206.488	23/1/2020	28/1/2020	1	6	19
MEBK168	FG-BLACK	PD63000127	FP63-000142	BUSS	21HM500-1	SO63000055	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-2.287	-104,204.399	79,061.194	17,243.204	-7,900.001	28/1/2020	30/1/2020	1	3	7
MEBK202	FG-BLACK	PD62001620	FP62-001691	BUSS	21HM500-1	SO62000807	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-8.066	-17,109.287	-1,360.315	-10,822.200	-29,291.802	25/12/2019	7/1/2020	1	14	23
MEBK202	FG-BLACK	PD62001621	FP62-001692	BUSS	21HM500-1	SO62000807	7,894.737	7,924.737	7,875.000	49.737	0.350	0.628	Fail	-5.489	-6,471.780	-562.976	-7,915.200	-14,949.956	25/12/2019	8/1/2020	1	15	24
MEBK202	FG-BLACK	PD63000085	FP63-000100	BUSS	21HM500-1	SO63000036	10,526.315	10,526.315	10,500.000	26.315	0.350	0.250	Pass	-12.994	-22,220.648	-1,327.258	-23,640.000	-47,187.906	20/1/2020	23/1/2020	2	4	7
MEBK202	FG-BLACK	PD63000086	FP63-000101	BUSS	21HM500-1	SO63000036	10,526.315	10,526.315	10,500.000	26.315	0.350	0.250	Pass	-13.593	-24,259.418	-1,463.143	-23,640.000	-49,362.561	20/1/2020	24/1/2020	2	5	8
MEBK202	FG-BLACK	PD63000087	FP63-000102	BUSS	21HM500-1	SO63000036	10,526.315	10,526.315	10,500.000	26.315	0.350	0.250	Pass	-12.783	-21,675.858	-1,108.100	-23,640.000	-46,423.958	20/1/2020	24/1/2020	2	5	8
MEBK276	FG-BLACK	PD62001485	FP62-001553	BUSS	21HM500-1	SO62000727	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-0.490	-77,757.525	59,963.936	16,148.942	-1,644.647	25/12/2019	8/1/2020	1	15	65
MEBK276	FG-BLACK	PD62001486	FP62-001554	BUSS	21HM500-1	SO62000727	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	-1.356	-80,457.890	59,760.108	16,148.942	-4,548.840	25/12/2019	7/1/2020	1	14	64
MEBK276	FG-BLACK	PD63000039	FP63-000041	BUSS	21HM500-1	SO63000019	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	4.089	-63,783.570	-63,989.138	141,491.562	13,718.854	13/1/2020	22/1/2020	2	10	13
MEBK276	FG-BLACK	PD63000040	FP63-000042	BUSS	21HM500-1	SO63000019	16,658.779	16,688.779	16,575.000	113.779	0.350	0.682	Fail	3.256	-105,064.110	97,338.040	24,968.619	17,242.549	14/1/2020	18/1/2020	1	5	9
MEBK276	FG-BLACK	PD63000041	FP63-000043	BUSS	21HM500-1	SO63000019	10,526.315	10,526.315	10,500.000	26.315	0.350	0.250	Pass	-5.180	-76,540.745	66,167.374	-7,006.288	-17,379.659	22/1/2020	25/1/2020	1	4	16
MEBK276	FG-BLACK	PD63000042	FP63-000044	BUSS	21HM500-1	SO63000019	10,526.315	10,526.315	10,500.000	26.315	0.350	0.250	Pass	-6.003	-79,205.805	66,073.125	-7,006.288	-20,138.968	22/1/2020	27/1/2020	3	6	18
MEBK276	FG-BLACK	PD63000043	FP63-000045	BUSS	21TM500-1	SO63000019	10,526.315	10,526.315	10,500.000	26.315	0.350	0.250	Pass	-6.198	-79,730.031	65,940.899	-7,006.288	-20,795.420	22/1/2020	27/1/2020	3	6	18
MEBK276	FG-BLACK	PD63000044	FP63-000046	BUSS	21HM500-1	SO63000019	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	2.880	-53,446.783	61,337.145	1,771.773	9,662.135	23/1/2020	27/1/2020	1	5	18
MEBK276	FG-BLACK	PD63000045	FP63-000047	BUSS	21HM500-1	SO63000020	10,526.315	10,556.315	10,500.000	56.315	0.350	0.533	Fail	6.749	-41,327.480	62,197.750	1,771.773	22,642.043	23/1/2020	28/1/2020	1	6	19
MEBK276	FG-BLACK	PD63000084	FP63-000099	BUSS	21HM500-1	SO63000034	2,631.579	2,631.579	2,625.000	6.579	0.350	0.250	Pass	-6.142	-19,871.323	16,471.759	-1,751.572	-5,151.136	22/1/2020	24/1/2020	2	3	8
MEBK282	FG-BLACK	PD62001618	FP62-001689	BUSS	21HM200-2	SO62000806	11,538.462	11,568.462	11,500.000	68.462	0.350	0.592	Fail	13.093	43,502.587	8,803.566	-6,547.846	45,758.307	25/12/2019	14/1/2020	1	21	30
MEBK282	FG-BLACK	PD62001619	FP62-001690	BUSS	21HM200-2	SO62000806	11,538.462	11,308.462	11,275.000	33.462	0.350	0.296	Pass	20.235	63,386.860	11,244.223	-5,292.346	69,338.737	25/12/2019	15/1/2020	2	22	31
MEBK44	FG-BLACK	PD63000010	FP63-000010	BUSS	21HM500-1	SO63000007	22,368.421	22,368.421	22,225.000	143.421	0.350	0.641	Fail	-1.365	-21,417.617	-788.380	11,649.542	-10,556.455	17/1/2020	23/1/2020	2	7	17
MEBK44	FG-BLACK	PD63000011	FP63-000011	BUSS	21HM500-1	SO63000008	22,368.421	22,368.421	22,225.000	143.421	0.350	0.641	Fail	36.877	216,689.548	58,228.745	10,179.542	285,097.835	17/1/2020	24/1/2020	2	8	18
MEBK44	FG-BLACK	PD63000067	FP63-000069	BUSS	21HM500-1	SO63000027	10,526.315	11,552.915	11,475.000	77.915	0.350	0.674	Fail	11.334	33,234.668	-11,639.281	23,644.855	45,240.242	16/1/2020	22/1/2020	3	7	10
MEBK44	FG-BLACK	PD63000068	FP63-000070	BUSS	21HM500-1	SO63000027	10,526.315	10,526.315	10,475.000	51.315	0.350	0.487	Fail	6.362	17,494.943	1,297.827	4,390.376	23,183.146	16/1/2020	23/1/2020	3	8	11
MEBK44	FG-BLACK	PD63000069	FP63-000071	BUSS	21HM500-1	SO63000028	5,263.158	5,263.159	5,225.000	38.159	0.350	0.725	Fail	0.458	-2,036.060	59.179	2,809.736	832.855	17/1/2020	23/1/2020	3	7	11
MEBK44	FG-BLACK	PD63000070	FP63-000072	BUSS	Packer_1	SO63000029	10,031.000	10,031.000	10,031.000	0.000	0.350	0.000	Pass	2.840	-48,177.226	-1,392.684	59,481.108	9,911.198	29/1/2020	30/1/2020	2	2	18
MEBK44	FG-BLACK	PD63000071	FP63-000073	BUSS	Packer_1	SO63000029	4,925.000	4,925.000	4,925.000	0.000	0.350	0.000	Pass	2.975	0.000	0.000	5,097.279	5,097.279	29/1/2020	30/1/2020	1	2	18
MEBK44-51	TEST	PD63000136	FP63-000151	BUSS	21HM500-1	SO63000060	10,526.315	10,526.315	10,031.000	495.315	0.350	4.705	Fail	-0.745	-17,007.026	14,364.012	0.000	-2,643.014	27/1/2020	30/1/2020	2	4	7
MEBK44-52	TEST	PD63000137	FP63-000152	BUSS	21HM500-1	SO63000060	5,150.000	5,150.000	4,925.000	225.000	0.350	4.369	Fail	-2.283	-9,838.390	6,121.818	-295.000	-4,011.572	27/1/2020	30/1/2020	2	4	7
MESV13153	FG-COLOUR	PD63000054	FP63-000056	TWIN-58	21HM200-1	SO63000023	1,010.000	1,010.000	1,010.000	0.000	0.350	0.000	Pass	3.463	3,293.944	680.791	0.000	3,974.735	21/1/2020	28/1/2020	2	8	19
MESV13153	FG-COLOUR	PD63000055	FP63-000057	TWIN-58	21HM200-1	SO63000023	1,010.000	1,010.000	1,000.000	10.000	0.350	0.990	Fail	10.656	9,515.031	2,594.807	0.000	12,109.838	21/1/2020	28/1/2020	1	8	19
MESV13153	FG-COLOUR	PD63000056	FP63-000058	TWIN-58	21HM500-1	SO63000023	1,010.000	1,010.000	1,005.000	5.000	0.350	0.495	Fail	6.083	5,014.397	-2,600.861	4,534.510	6,948.046	21/1/2020	28/1/2020	1	8	19
MESV13153	FG-COLOUR	PD63000057	FP63-000059	TWIN-58	21HM200-1	SO63000023	1,010.000	1,010.000	1,000.000	10.000	0.350	0.990	Fail	7.723	6,661.108	2,116.163	0.000	8,777.271	24/1/2020	30/1/2020	2	7	21
MESV13153	FG-COLOUR	PD63000058	FP63-000060	TWIN-58	21HM200-1	SO63000023	961.920	961.921	951.600	10.321	0.350	1.073	Fail	7.766	6,255.857	2,143.103	0.000	8,398.960	24/1/2020	30/1/2020	2	7	21
MESV15790	FG-COLOUR	PD63000106	FP63-000121	TWIN-58	Packer_1	SO63000064	98.900	98.900	98.700	0.200	0.350	0.202	Pass	4.071	0.000	0.000	450.506	450.506	23/1/2020	24/1/2020	1	2	2
MESV15790	FG-COLOUR	PD63000107	FP63-000122	TWIN-58	21HM200-2	SO63000065	500.000	500.000	500.000	0.000	0.350	0.000	Pass	40.226	11,514.795	1,215.987	9,821.867	22,552.649	23/1/2020	25/1/2020	2	3	3
MHBK120	FG-BLACK	PD62001638	FP62-001710	BUSS	21HM500-1	SO62000813	10,300.000	10,330.000	10,260.000	70.000	0.350	0.678	Fail	-8.756	-15,147.578	-6,733.675	-7,513.902	-29,395.155	10/1/2020	15/1/2020	2	6	23
MHBK120	FG-BLACK	PD62001639	FP62-001711	BUSS	21HM500-1	SO62000813	10,300.000	10,330.000	10,260.000	70.000	0.350	0.678	Fail	-8.300	-13,740.799	-6,610.028	-7,513.902	-27,864.729	10/1/2020	15/1/2020	1	6	23
MHBK120	FG-BLACK	PD62001640	FP62-001712	BUSS	21HM500-1	SO62000813	10,300.000	10,330.000	10,300.000	30.000	0.350	0.290	Pass	-10.272	-16,217.402	-7,404.998	-10,999.842	-34,622.242	13/1/2020	16/1/2020	1	4	24
MHBK6848	FG-BLACK	PD62001555	FP62-001625	BUSS	21HM500-1	SO62000772	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	3.288	-769.145	-80,872.403	93,631.200	11,989.652	25/12/2019	7/1/2020	1	14	36
MHBK6848	FG-BLACK	PD62001556	FP62-001626	BUSS	21HM500-1	SO62000772	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	3.417	1,806.091	-6,768.789	17,422.060	12,459.362	25/12/2019	7/1/2020	1	14	36
MHBK6848	FG-BLACK	PD62001557	FP62-001627	BUSS	21HM500-1	SO62000772	11,250.000	11,260.000	11,200.000	60.000	0.350	0.533	Fail	3.975	4,171.985	-6,545.973	16,869.850	14,495.862	25/12/2019	8/1/2020	1	15	37
REPORTED DATE :	12/11/2020	Page 3	PolyMerit Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakarn 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MHBK6848	FG-BLACK	PD62001558	FP62-001628	BUSS	21HM500-1	SO62000773	11,250.000	11,260.000	11,200.000	60.000	0.350	0.533	Fail	1.734	-3,368.689	-7,176.444	16,869.850	6,324.717	25/12/2019	10/1/2020	2	17	39
MHBK6848	FG-BLACK	PD62001559	FP62-001629	BUSS	21HM500-1	SO62000773	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	3.475	1,996.311	-6,747.971	17,422.050	12,670.390	6/1/2020	13/1/2020	4	8	42
MHBK6848	FG-BLACK	PD62001560	FP62-001630	BUSS	21HM500-1	SO62000773	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	3.520	2,127.353	-6,714.914	17,422.050	12,834.489	7/1/2020	13/1/2020	1	7	42
MHBK6848	FG-BLACK	PD62001561	FP62-001631	BUSS	21HM500-1	SO62000773	11,250.000	10,802.000	10,723.000	79.000	0.350	0.731	Fail	7.926	10,027.014	222.520	17,423.250	27,672.784	7/1/2020	14/1/2020	2	8	43
MHBK6848	FG-BLACK	PD62001562	FP62-001632	BUSS	21HM500-1	SO62000773	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	-2.992	-18,429.805	-29,310.616	36,829.478	-10,910.943	23/1/2020	29/1/2020	1	7	58
MHBK6848	FG-BLACK	PD63000116	FP63-000131	BUSS	21HM500-1	SO63000052	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	-4.940	-22,713.430	-79,467.250	84,166.000	-18,014.680	24/1/2020	30/1/2020	2	7	7
MHBK6848	FG-BLACK	PD63000117	FP63-000132	BUSS	21HM500-1	SO63000052	11,250.000	11,280.000	11,200.000	80.000	0.350	0.709	Fail	-4.438	-22,320.255	-79,368.080	85,506.090	-16,182.245	27/1/2020	30/1/2020	1	4	7
