Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
ASUV18021	FG-AD-SER	PD62003885	FS62-006445	TWIN-L	21HM200-5	SO62007738	300	300	295.4	4.6	2.1	1.533	Pass	-23.585	-3806.330	-221.170	0.000	-4027.500	24/12/2019	7/1/2020	2	15	37
MPSV18068	FG-COLOUR	PD62004067	FS62-006776	TWIN-L	21HM200-1	SO62008158	610.1	610.1	606.7	3.4	1	0.557	Pass	-38.27	-17373.970	-1515.020	-14564.280	-33453.270	24/12/2019	7/1/2020	1	15	21
MPBK13142	TRADE-BK	PD62004068	FS62-006779	TWIN-L	21HM200-3	SO62008170	129.5	129.5	128.2	1.3	2.1	1.004	Pass	-18.201	-3039.250	-471.060	567.530	-2942.780	26/12/2019	7/1/2020	1	13	21
MSWH21429-1	TEST	PD62004075	FS62-006789	TWIN-L	21HM200-4	SO62008172	105	105	101.3	3.7	2.1	3.524	Fail	8.978	718.520	395.000	0.000	1113.520	24/12/2019	7/1/2020	2	15	20
SE40YE12A	SCOL	PD62004084	FS62-006801	TWIN-L	21HM200-2	Manual	250	250	242	8	2.1	3.2	Fail	10.538	4362.040	3215.010	0.000	7577.050	23/12/2019	7/1/2020	2	16	20
MEBL18624	FG-COLOUR	PD62004087	FS62-006805	TWIN-L	21HM200-3	SO62008191	151.5	185.078	184.3	0.778	2.1	0.42	Pass	-4.284	-827.770	19.520	129.040	-679.210	19/12/2019	7/1/2020	2	20	20
MPOR15147	FG-COLOUR	PD62004092	FS62-006818	TWIN-L	21TM500-1	SO62008183	"1,009.80"	"1,061.91"	"1,053.40"	8.505	1	0.801	Pass	5.07	6662.970	218.490	2547.670	9429.130	20/12/2019	7/1/2020	1	19	19
MEBL18920	FG-COLOUR	PD62004103	FS62-006835	TWIN-L	21HM200-2	SO62008241	205.3	205.3	201.6	3.7	2.1	1.802	Pass	-3.077	-3136.630	207.770	1199.030	-1729.830	23/12/2019	7/1/2020	2	16	16
MTPK21008	FG-COLOUR	PD62004106	FS62-006845	TWIN-L	21HM75-1	SO62008250	24.641	24.641	23.8	0.841	3.1	3.413	Fail	34.807	790.750	74.140	146.510	1011.400	25/12/2019	7/1/2020	1	14	16
MTOR19369	FG-COLOUR	PD62004110	FS62-006850	TWIN-L	21HM200-1	SO62008261	52.3	52.3	51.4	0.9	3.1	1.721	Pass	50.94	2785.120	443.450	168.670	3397.240	24/12/2019	7/1/2020	2	15	15
MPBK13142	TRADE-BK	PD62004120	FS62-006860	TWIN-L	21HM200-3	SO62008269	50	50	50	0	3.1	0	Pass	-16.698	-970.650	-82.330	0.000	-1052.980	26/12/2019	7/1/2020	1	13	15
MEYE7305	FG-COLOUR	PD62004122	FS62-006863	TWIN-L	21HM75-1	SO62008281	30.1	30.1	29.7	0.4	3.1	1.329	Pass	20.911	846.610	-606.100	1716.300	1956.810	25/12/2019	7/1/2020	2	14	15
SXGN09A	SCOL	PD62004126	FS62-006868	OT	21HM75-1	Manual	25	25	24.9	0.1	3.1	0.4	Pass	51.383	354.190	88.690	-22.300	420.580	25/12/2019	7/1/2020	2	14	14
