REPORTED DATE :	12/11/2020	Page 1	SALEE COLOUR PUBLIC CO.,LTD.	 858 Moo 2, Soi 1C/1 Bangpu Industrial Estate, Bangpumai,  Muang Samutprakarn, Samutprakarn 10280, Thailand.
Tel : (66)0-2323-2601-8  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
AEAO592	FG-AD	PD63000123	FS63-000246	TE75	21HM200-4	SO63000231	3,313.500	3,263.500	3,243.000	20.500	0.500	0.628	Fail	-2.084	-3,322.790	-69,811.251	69,707.954	-3,426.087	27/1/2020	30/1/2020	1	4	21
AELM17833	FG-AD	PD63000134	FS63-000265	TWIN-L	21HM200-1	SO63000255	1,013.000	1,013.000	1,010.000	3.000	1.000	0.296	Pass	28.934	-35,828.129	138,529.097	-34,610.590	68,090.378	20/1/2020	25/1/2020	1	6	13
AELM17833	FG-AD	PD63000135	FS63-000266	TWIN-L	21HM200-1	SO63000255	1,010.000	1,010.000	1,009.300	0.700	1.000	0.069	Pass	28.715	-35,581.068	138,395.154	-35,285.128	67,528.958	20/1/2020	28/1/2020	4	9	16
AELM17833	FG-AD	PD63000136	FS63-000267	TWIN-L	21HM200-1	SO63000255	255.000	255.001	232.900	22.101	2.100	8.667	Fail	45.588	-5,499.286	38,380.590	-8,142.184	24,739.120	20/1/2020	28/1/2020	1	9	16
AEOA20440	FG-AD	PD62004001	FS62-006662	TWIN-L	21HM200-4	SO62008017	100.000	100.000	89.300	10.700	2.100	10.700	Fail	86.182	8,635.897	3,698.945	0.000	12,334.842	7/1/2020	14/1/2020	2	8	34
AEOA20440	FG-AD	PD63000154	FS63-000291	TWIN-L	21HM200-4	SO63000216	64.300	64.300	64.100	0.200	2.100	0.311	Pass	31.922	2,202.186	-1,214.581	2,291.932	3,279.537	22/1/2020	25/1/2020	1	4	13
AEOA21453	FG-AD	PD62004131	FS62-006886	TWIN-L	Packer_1	SO62008296	26.200	26.200	26.000	0.200	3.100	0.763	Pass	6.230	0.000	0.000	148.983	148.983	8/1/2020	13/1/2020	4	6	20
AEOA21453-1	TEST	PD62004130	FS62-006885	TWIN-L	21HM75-1	SO62008296	27.000	27.000	26.200	0.800	3.100	2.963	Pass	57.559	1,217.016	176.809	0.000	1,393.825	26/12/2019	8/1/2020	1	14	15
AEPA13599	FG-AD	PD63000176	FS63-000312	TE75	21HM200-5	SO63000274	5,310.000	5,250.000	5,214.200	35.800	0.500	0.682	Fail	1.022	894.287	1,804.034	623.691	3,322.012	23/1/2020	30/1/2020	1	8	18
AESA254	FG-AD	PD63000177	FS63-000313	TWIN-L	21HM200-4	SO63000274	1,009.800	1,009.800	1,002.900	6.900	1.000	0.683	Pass	-11.064	-15,033.962	-1,977.585	3,107.523	-13,904.024	14/1/2020	21/1/2020	1	8	8
AESB16911	TRADE-AD	PD62004000	FS62-006661	TE96	21HM200-1	SO62008009	4,307.000	4,262.000	4,221.300	40.700	0.500	0.955	Fail	-5.789	-18,838.495	2,024.831	468.207	-16,345.457	6/1/2020	9/1/2020	2	4	29
AESB9799	FG-AD	PD63000091	FS63-000145	TWIN-L	21HM200-4	SO63000068	1,008.300	1,008.300	1,002.400	5.900	1.000	0.585	Pass	3.627	2,617.653	645.403	220.360	3,483.416	14/1/2020	17/1/2020	1	4	10
APAB14040	TRADE-AD	PD63000194	FS63-000336	TWIN-L	21HM200-4	SO63000311	1,010.500	1,010.500	998.500	12.000	1.000	1.188	Fail	265.101	208,545.187	57,077.800	553.059	266,176.046	14/1/2020	23/1/2020	2	10	10
APPA17259	FG-AD	PD63000168	FS63-000304	TWIN-L	21HM200-5	SO63000274	2,015.000	2,015.000	2,010.000	5.000	1.000	0.248	Pass	27.491	35,361.622	2,113.905	2,151.431	39,626.958	23/1/2020	30/1/2020	1	8	18
ASUV18021	FG-AD-SER	PD62003885	FS62-006445	TWIN-L	21HM200-5	SO62007738	300.000	300.000	295.400	4.600	2.100	1.533	Pass	-23.585	-3,806.332	-221.167	0.000	-4,027.499	24/12/2019	7/1/2020	2	15	37
ATUV60	FG-AD	PD63000032	FS63-000057	TWIN-L	21HM200-4	SO63000026	507.000	575.182	569.900	5.282	2.100	0.918	Pass	-7.273	-11,443.505	-12,680.735	12,682.100	-11,442.140	14/1/2020	22/1/2020	1	9	17
CEBL21474	FG-CO	PD63000129	FS63-000255	TWIN-L	Packer_1	SO63000238	45.900	45.900	45.900	0.000	3.100	0.000	Pass	2.903	0.000	0.000	118.902	118.902	28/1/2020	29/1/2020	1	2	17
CEBL21474-1	TEST	PD63000130	FS63-000256	TWIN-L	21HM200-1	SO63000238	52.000	52.001	45.900	6.101	3.100	11.732	Fail	85.457	2,940.627	465.023	81.527	3,487.177	16/1/2020	29/1/2020	1	14	17
CHGY13784	FG-CO	PD62004052	FS62-006754	TE75	21HM200-4	SO62008128	1,000.000	1,000.000	856.000	144.000	1.000	14.400	Fail	59.211	20,957.455	9,520.687	0.000	30,478.142	8/1/2020	28/1/2020	1	21	42
CHGY13784	FG-CO	PD63000068	FS63-000099	TE75	21HM200-4	SO63000084	1,000.000	1,000.000	997.000	3.000	1.000	0.300	Pass	1.284	664.986	105.061	0.000	770.047	8/1/2020	29/1/2020	2	22	23
CHGY13784	FG-CO	PD63000098	FS63-000155	TE75	21HM200-4	SO63000136	1,000.000	1,000.000	999.000	1.000	1.000	0.100	Pass	0.808	514.688	-29.024	0.000	485.664	8/1/2020	29/1/2020	2	22	22
CHGY13784	FG-CO	PD63000166	FS63-000302	TE75	21HM200-4	SO63000284	600.000	600.000	512.000	88.000	1.000	14.667	Fail	14.894	199.981	4,385.694	0.000	4,585.675	13/1/2020	29/1/2020	2	17	17
CHGY13784	FG-CO	PD63000167	FS63-000303	TE75	21HM200-4	SO63000284	2,900.000	2,900.000	2,881.000	19.000	0.500	0.655	Fail	-0.068	-493.573	375.321	0.000	-118.252	13/1/2020	29/1/2020	2	17	17
CHGY13784	FG-CO	PD63000223	FS63-000395	TWIN-L	21HM75-1	SO63000328	22.222	22.222	20.600	1.622	3.100	7.299	Fail	76.634	1,459.145	249.351	0.000	1,708.496	16/1/2020	30/1/2020	1	15	15
CHGY13784-5	TEST	PD63000224	FS63-000396	TWIN-L	21HM75-1	SO63000328	22.222	22.222	20.500	1.722	3.100	7.749	Fail	40.631	700.141	180.296	0.000	880.437	16/1/2020	30/1/2020	1	15	15
CHGY13784-6	TEST	PD63000225	FS63-000397	TWIN-L	21HM75-1	SO63000328	22.222	22.223	20.400	1.823	3.100	8.203	Fail	43.404	216.288	341.406	0.000	557.694	16/1/2020	30/1/2020	1	15	15
CPBL19917	FG-CO-SER	PD63000226	FS63-000398	TWIN-L	21HM200-2	SO63000331	160.000	163.510	158.900	4.610	2.100	2.819	Fail	32.001	2,541.976	399.722	216.414	3,158.112	23/1/2020	30/1/2020	1	8	15
CPBL20112	FG-CO	PD63000227	FS63-000399	TWIN-L	21HM200-2	SO63000331	135.600	135.600	130.500	5.100	2.100	3.761	Fail	1,394.352	169,954.074	15,186.714	2,432.768	187,573.556	23/1/2020	30/1/2020	1	8	15
CPTC21189	TRADE-FL	PD63000054	FS63-000079	TWIN-L	21TM500-2	SO63000030	5,500.000	5,519.300	5,496.000	23.300	0.500	0.422	Pass	-64.266	-149,366.251	-24,097.109	-94,987.925	-268,451.285	21/1/2020	24/1/2020	2	4	18
CPTC21189	TRADE-FL	PD63000057	FS63-000086	TWIN-L	21HM200-2	SO63000044	675.000	675.000	675.000	0.000	1.000	0.000	Pass	-83.381	-32,217.323	-3,201.811	-7,357.736	-42,776.870	7/1/2020	25/1/2020	4	19	19
CPTC21190	TRADE-FL	PD63000055	FS63-000080	TWIN-L	21HM200-2	SO63000030	2,210.000	2,216.700	2,216.700	0.000	0.500	0.000	Pass	-21.956	-107,615.190	-10,681.285	86,997.858	-31,298.617	17/1/2020	22/1/2020	1	6	16
CPTC21394	TRADE-CO	PD63000048	FS63-000073	TWIN-L	21TM500-2	SO63000029	5,040.600	5,040.600	5,000.000	40.600	0.500	0.805	Fail	-24.203	-7,526.198	15,799.755	-59,341.389	-51,067.832	13/1/2020	16/1/2020	2	4	11
